codigo,precio,administracion,latitud,longitud,area,banos,habitaciones,porteria,antiguedad,estado,piso,parqueaderos,estrato,descripcion,pagina,fecha
10832914,380000000,285000,4.719196699999999,-74.1284233,67.0,2,3,1,4.5,,8,1.0,4.0,"GRAN OPORTUNIDAD APTO EN VENTA CONJUNTO SABANA DE LOS CEREZOS, barrio gran granada, con un área privada de 67 mts, consta de sala / comedor con balcón, cocina integral abierta, zona de ropas, habitación principal con closet, baño y balcón privado,  habitaciones con closet, baño de alcobas, 1 parqueadero cubierto, piso 8 con ascensor // ZONAS COMUNES salón social, salón infantil, BBQ, cancha multiple, 2 parques infantiles, gimnasio, parqueaderos de visitantes, zonas verdes, torres con acceso discapacitados // CERCA a exito de la 80, easy, sector comercial, salida de la 80 hacia siberia PRECIO: $ 380.000.000 NEGOCIABLES",finca_raiz,2024-06-14 19:07:55.410
10781994,228000000,0,4.644179800000001,-74.07162389999999,25.0,1,1,1,1.0,,5,0.0,4.0,"!!!NEGOCIABLE!!! Lindo apartaestudio exterior para ESTRENAR, zona de alcoba con closet, zona social, balcón, cocina integral abierta con estufa de 4 puestos a gas, horno eléctrico, extractor, alacena extraible y herrajes modernos, zona de lavandería independiente con instalación para lavadora, calentador a gas, baño con división en vidrio. El edificio inteligente cuenta con ascensor, monta-coches automatizado, bicicleteros, terraza con BBQ, cocineta, baño, lavandería comunal con lavadora-secadora, y solarium 360 grados, ubicado estratégicamente en la zona de Galerías con excelentes vías de acceso como la Cra. 30 y 24, la calle 53 y 57, Av Caracas. DISPONIBILIDAD DE GARAJE CUBIERTO E INDEPENDIENTE. Mayor información 31743433022 y 3143023694.",finca_raiz,2024-06-14 19:07:55.603
10821505,485000000,630000,4.7269599,-74.0415718,67.0,2,2,1,4.5,,1,1.0,4.0,"Excelente ubicacion, tenemos el mejor apartamento del sector, en ubicacion y en comodidades, una vista excelente con los mejores atardeceres, ascensor directo a su hermoso apartamento, sin salir de la comodidad de su apartamento las zonas comunes cuentan con piscina, sauna, jacuzzi, ginmacio, parque infantil, teatrino espectacular. con capacidad para 60 personas, vigilacia 24 horas, terraza dotada de cancha de micro futbol, estaciones de bbq con auxiliares de cocina,  ven a conocer tu proximo hogar,",finca_raiz,2024-06-14 19:07:55.807
10495912,2282000000,1553600,4.8198205,-74.0484777,1.0,4,3,1,23.0,,2,3.0,6.0,"AREA CONSTRUIDA : 
( 266.93 En escrituras + ampliaciones en cocina ( 7.6 mts ) y sala ( 20.8 mts) + 
Terrazas ( 78 mts ) 
ÁREA DEL TERRENO 1.419,54 M2

Se encuentra situada en Bogotá D.C., Cundinamarca, esta hermosa casa es ideal para familias que buscan un lugar para vivir. Cuenta con un grandioso área de terreno de 1419.54 M2 y área construida de 266.93 M2. Está compuesta por 3 alcobas, 4 baños y 6 garajes.

Algunas de las características internas incluyen adosado, balcón, baño auxiliar, baño en habitación principal, barra estilo americano, biblioteca/estudio, calentador, chimenea, citófono / intercomunicador, clósets, cocina integral, comedor auxiliar, depósito, despensa, doble ventana, gas domiciliario, habitación servicio, hall de alcobas, reformado, vista panorámica, zona de lavandería.

Y las características externas son acceso pavimentado, área social, barbacoa / parrilla / quincho, centros comerciales, colegios / universidades, garaje, gimnasio, lago, parqueadero visitantes, portería / recepción, salón comunal, terraza, trans. público cercano, urbanización cerrada, zona campestre, zona residencial, zonas verdes. Estas últimas características hacen que la propiedad sea irresistible.

Una excelente ubicación con una amplia variedad de instalaciones, esta hermosa propiedad se destaca como la elección ideal para tu próximo hogar. Aprovecha esta maravillosa oportunidad.",finca_raiz,2024-06-14 19:07:56.013
10111900,975000000,1007000,4.6725315,-74.04576899999999,207.0,3,3,1,23.0,,2,2.0,6.0,"APARTAMENTO PARA REMODELAR, super bien ubicado, en piso 2, interior, confortable, espacios amplios, consta de 3 habitaciones la principal con baño, las otras habitaciones comparten baño, + baño social, sala con chimenea, comedor independiente, estudio, star de habitaciones, cocina cerrada, zona de lavandería independiente, cuarto de servicio con baño, terraza interior del 25 Mt2 aproximadamente, 2 parqueaderos independientes.
Edificio con vigilancia las 24 horas, más sistema de monitoreo y alarma, ascensor, parqueadero de visitantes.
Excelentes vías de acceso, transporte publico, supermercados, centros comerciales, zonas verdes.",finca_raiz,2024-06-14 19:07:56.266
10310596,1350000000,1350000,4.66115,-74.053419,185.0,5,3,1,16.501468428781205,,1,2.0,6.0,"PADS tiene el gusto de presentarte este espectacular apartamento clásico en el exclusivo sector de El Nogal. Desde allí podrás caminar a exclusivos restaurantes, cafés y centros comerciales como el centro comercial Andino y el Retiro, además de distintas zonas gastronómicas emblemas de la ciudad.

Este acogedor apartamento cuenta con tres habitaciones, cinco baños, y opción de una cuarta habitación, la cual también puede ser usada bien tanto como estudio o salón de T,  una amplia sala, comedor. La cocina remodelada es amplia y luminosa donde podrás disfrutar increíbles desayunos en familia.

Sin dudarlo la iluminación natural de este apartamento se destaca gracias a sus grandes ventanales y su ubicación esquinera, el edificio cuenta con circuito cerrado de TV, cercas eléctricas, un parque de uso común, y una bahía sobre la entrada del edificio.

No dudes en contactarnos y así agendar tu visita!",finca_raiz,2024-06-14 19:07:56.481
10643911,345000000,262000,4.6451185,-74.0652723,35.0,1,1,1,4.5,,16,1.0,4.0,"Apartamento en venta barrio Chapinero, edificio diseñado como obra de arte con elementos geométricos. apartamento   iluminado, exterior, buenos acabados, cuenta con sala comedor, cocina abierta, 1 alcoba, 1 baño, zona de lavandería independiente, piso madera laminada, un garaje y deposito. Edificio cuenta con lobby gran altura, 110 bicicleteros, 2 salas de televisión, 2 salas de videojuegos, 4 salas de estudio, zona de lavandería, taller sala de arte, cocina lounge, BBQ, senderos terraza, gimnasio, terraza con vista panorámica 360 grados a la ciudad, ascensor, salon social. trasporte público cercano, cerca de supermercados, universidades, zonas financieras.",finca_raiz,2024-06-14 19:07:56.687
10912838,315000000,262000,4.7533561,-74.0669343,58.0,2,2,1,23.0,,1,1.0,4.0,"en primer piso elevado de 58 con  terraza,  de 2 habitaciones ,dos baños, cocina y lavandería para remodelar, pisos en madera, un parqueadero cubierto, deposito, cuenta con parque para niños, gimnasio, salón social, senderos para caminar , rodeado de parques, cerca farmatodo, clínica colina, colegios, supermercados cerca, avenida boya, calle 167, fácil transporte.",finca_raiz,2024-06-14 19:07:56.893
10267873,520000000,365000,4.6975009,-74.03478129999999,83.0,4,2,1,30.0,,1,1.0,6.0,"Lindo apartamento exterior, que goza de magnífica iluminación, totalmente remodelado con cocina abierta de lindos acabados tipo americano, zona de sala comedor muy amplia, zona de lavandería independiente, espacio para estudio o estar de alcobas, dos habitaciones, baño social y dos de habitaciones. Se encuentra ubicado en muy buen sector de Santa Bárbara Central, muy cerca de vías principales, de hermosos parques y a pocos minutos de Unicentro y la Clínica Santa Fe. En edificio totalmente seguro con vigilancia 24 horas y CCTV.",finca_raiz,2024-06-14 19:07:57.102
10766693,260000000,170000,4.660946099999999,-74.1213235,42.0,2,3,1,4.5,,6,0.0,4.0,"CONJUNTO LA MONTAÑA. 42 m2, con vista exterior ubicado en un el piso 11, vista interior, acceso por ascensor y parqueadero comunal. Consta de 3 habitaciones, 2 baños, sala comedor, cocina integral y zona de lavandería. Tiene piso laminado en habitaciones y zona social y cerámico en baños y cocina. El conjunto cuenta con parque infantil, salón social, gimnasio y vigilancia privada las 24 horas. Cerca a los Tres Elefantes, El Exito , Multiplaza; cerca a colegio La Felicidad IED; cerca a Aeropuerto El Dorado; Vías de acceso por la Calle 13, Av Cali y Avenida Boyacá, La Esperanza. Rutas de SITP",finca_raiz,2024-06-14 19:07:57.304
10775630,780000000,823400,4.611017242278442,-74.06735660892332,109.0,3,2,1,30.0,,7,1.0,4.0,"Apartamento remodelado en el año 2022 con un área de 109m2 de área. Ubicado en 7 piso con vista hacia el Parque de la Independencia. Consta de:  amplia sala-comedor, 2 habitaciones cada una con su baño, baño social, cocina abierta con excelentes acabados (incluye máquina lava-vajillas) horno microonda, estufa eléctrica moderna, calentador de paso eléctrico, zona de lavandería independiente.  Garaje en el primer nivel y un depósito pequeño.  El valor de la administración año 2024 es: $823.400.  Precio de Venta:  $780 millones.",finca_raiz,2024-06-14 19:07:57.511
10944561,825000000,800000,4.7338781,-74.0460124,191.0,4,3,1,23.0,,3,2.0,4.0,"Hermosa Casa Ubicada estratégicamente frente al Colegio Teresiano y a media cuadra de la Av. 19, esta casa ofrece una combinación perfecta de comodidad, seguridad y accesibilidad. A solo una cuadra de la estación de Transmilenio Mazurén, la propiedad se encuentra en un conjunto cerrado con vg 24 horas, garantizando tranquilidad para su familia. La casa, distribuida en tres niveles, cuenta con una excelente iluminación natural y acabados de alta calidad. En el primer piso, encontrará un garaje privado cubierto y un garaje externo descubierto, un baño social, una cocina integral moderna, una sala acogedora con chimenea y un comedor espacioso. El segundo piso dispone de dos alcobas con closet, una de ellas con baño privado, un baño de alcobas adicional y un estudio ideal para el trabajo o estudio en casa. En el tercer piso, la alcoba principal se destaca por su amplitud, Vestier y baño privado con tina, además de una amplia zona de lavandería cubierta. Contáctanos para mas información!",finca_raiz,2024-06-14 19:07:57.712
10954869,350000000,675000,4.6383013802336,-74.060962200165,51.0,1,1,1,23.0,,5,2.0,4.0,"Invierta en la zona con más alta demanda de vivienda en compra y arriendo, vendemos amplio, cálido, iluminado y acogedor apartamento, con DOS GARAJES INDEPENDIENTES, a solo 2 cuadras de la Cra 7 con Calle 53, transporte público eficiente, excelentes vías de acceso, cerca a universidades, colegios, zona gastronómica y demás sitios de interés.",finca_raiz,2024-06-14 19:07:57.913
10903532,635000000,460000,4.7406519,-74.0563999,95.0,3,3,1,4.5,,9,2.0,5.0,"Hermoso apartamento super-iluminado en Conjunto Club House y con capilla,   de las 3 alcobas:  dos de ellas tienen baño privado, además tiene estudio. Excelente precio y Negociable! Negociable! Se escuchan Ofertas!",finca_raiz,2024-06-14 19:07:58.111
6678623,750000000,0,4.584151744842529,-74.1019287109375,600.0,6,12,0,23.0,Excelente,0,1.0,3.0,"Casa rentable en el Restrepo de Bogotá. Al frente del parque central,  cerca al sim,  muy buenas vías de acceso cuenta con 3 apartamentos,  1 aparta estudió y 2 locales. RENTA MENSUAL DE $6.000.000. Servicios independientes. Quieres conocerla contáctanos. DO..",finca_raiz,2024-06-14 19:07:58.430
10699900,549000000,380000,4.738729143387723,-74.05688483328247,89.0,2,3,1,12.0,,0,2.0,4.0,"ILUMINADO, EXTERIOR, 7o. PISO CON 2 ASCENSORES, 3 ALCOBAS, ESTUDIO, 2 BAÑOS, PISOS EN MADERA LAMINADA, SALA-COMEDOR, COCINA INTEGRAL A GAS, BALCON, 2 GARAJES CUBIERTOS, DEPOSITO. CONJUNTO CON SALON COMUNAL, GIMNASIO, BBQ., PARQUE INFANTIL, CANCHA DE SQUASH,  EXCELENTE UBICACION 1/2 CUADRA DE LA AV. CLL. 153, 2 CUADRAS AUTOPISTA NORTE, C.C MAZUREN, TRANSMILENIO, 4 CUADRAS AV. BOYACA, EDIFICIO ARTURO CALLE, CLINICA DE LA COLINA, CONTACTAR A RODRIGO CARRANZA.",finca_raiz,2024-06-14 19:07:58.632
10980935,320000000,275000,4.6208668,-74.0697506,31.0,1,1,1,1.0,Para estrenar,14,0.0,4.0,"Espectacular apartaestudio para estrenar que tiene la liciencia para arrendar por air bnb. Si se tienen dos camas se puede alquilar por 400 mil pesos la noche. Si es anual puede rentar 1.500 MM más administración. El edificio cuenta con 24 pisos , es totalmente electrico, cuenta con 70 parqueaderos y 20 de visitantes. Cada 5 pisos hay terrazas, son 14 en total, tienen 2 Cooworking con una capacidad cada uno de 10 personas. Cuenta con 4 locales comerciales y hay un gym en el piso 17, y hay una ruta de trote. Tiene Bbq, con un mirador de 360 grados y también una terraza cubierta lectura o tomarse unos vinos.",finca_raiz,2024-06-14 19:07:58.839
7739238,150000000,120000,4.751550197601318,-74.11132049560547,43.0,1,2,1,12.0,Excelente,2,0.0,2.0,"CONJUNTO CERRADO,  EXCELENTE ESTADO,  EXTERIOR , BUENA ILUMINACION ,  SEGUNDO PISO,  CERCA A PARQUES,  ESTACIONES DE TRANSPORTE. CITA PREVIA.",finca_raiz,2024-06-14 19:07:59.040
10923814,395000000,480000,4.7002352,-74.0596855,88.0,3,3,1,30.0,,4,2.0,4.0,"Apartamento en edificio clásico de 40 años ideal para remodelar, cuenta con 88m2 distribuidos en área social amplia con vista exterior, habitación principal con vista exterior y dos habitaciones auxiliares con vista interior, cocina cerrada y cuarto y baño de servicio. se deja remodelar abriendo cocina.",finca_raiz,2024-06-14 19:07:59.234
10728525,490000000,0,4.678782,-74.0899307,190.0,2,4,0,30.0,,1,0.0,3.0,"Excelente casa con un área propicia para construir hasta 5 pisos de altura, es una casa con un solo piso construido, con 4 habitaciones con areas espaciosas, y espacios generosos, debe remodelarse si se desea para vivir.",finca_raiz,2024-06-14 19:07:59.433
10795823,920000000,1500000,4.6923554263084,-74.052351217689,120.0,3,3,0,12.0,,4,2.0,5.0,"Se vende hermoso apartamento en San Patricio, Bogota. 

Es un apartamento de 120.50 metros, 4 piso, esquinero lateral. Cuenta con 3 alcobas, 3 baños, sala, comedor, cocina , patio de ropas, un estudio, dos balcones, dos garajes en línea y un depósito.

Edificio con terraza y 9 años de construido.

¡Contáctanos y agenda una visita para conocerlo!",finca_raiz,2024-06-14 19:07:59.626
10310288,925000000,564000,4.689393,-74.058693,114.0,2,3,1,4.5,,7,2.0,5.0,"Te presentamos espectacular apartamento ubicado estratégicamente, ya que cuenta con múltiples beneficios, buenas vías de acceso y movilidad como lo son la autopista y la Calle 100; fácil acceso a transporte público, a centros comerciales, parques y mucho más.

El edificio fue construido en el 2019 y cuenta con un moderno diseño, que se destaca por su elegancia. El apartamento con seguridad te cautivará, ya que cuenta con amplios espacios, buenos acabados y lo más importante, con muy buena iluminación natural, ya que tanto el área social como todas las habitaciones, tienen salida al balcón por medio de amplios ventanales que van de piso a techo. Así mismo, cuenta con un buen espacio que puede ser utilizado como family room o como estudio.

No lo pienses más, ven  y conócelo ya.",finca_raiz,2024-06-14 19:07:59.833
10967217,370000000,294000,4.67657385800004,-74.1073404999999,66.0,2,3,1,23.0,,5,1.0,4.0,"Apartamento recientemente remodelado en edificio de veinte años de construido en el barrio Normandía, en conjunto residencial estrato cuatro, con ciento sesenta apartamentos. Excelente ubicación, cerca del aeropuerto. Cuenta con recepción, dos salones comunales, gimnasio, oficina de administración, parque infantil, BBQ y plazoleta. 66,85 metros cuadrados de Área construida y parqueadero cubierto. Consta de sala comedor, cocina, patio de ropas, dos baños, y tres habitaciones con closet",finca_raiz,2024-06-14 19:08:00.555
10198901,570000000,706000,4.6890594,-74.04220959999999,127.0,3,3,1,30.0,,0,2.0,6.0,"Vendemos o arrendamos apartamento clásico, en excelente estado de conservación, ubicado en la localidad de Usaquén barrio Santa paula, conjunto cerrado, porteria y lobby vigilancia privada, cctv, buenas vías de acceso, transporte publico, cercanía a parques, comercio, gastronomia, servicios educativos, deportivos, religiosos, entre muchas otras comodidades.
Descripción
Apartamento en 3er piso, ascensor, hall de ingreso, sala comedor, chimenea, estudio con chimenea, cocina cerrada, zona de lavanderia, baño social, hall de alcobas, 3 alcobas, principal con baño privado y vestier, las otras 2 alcobas comparten un baño.
2 garajes independientes, un deposito amplio. zona social con vista al interior del conjunto y alcobas vista exterior
edificio esquinero, rodeado de modernas construcciones, apacible entorno residencial, varios parques.
posibilidad de arriendo, canon mensual $3.000.000 incluye admon.
libre de deudas, verlo con cita previa, disponibilidad",finca_raiz,2024-06-14 19:08:00.769
7258606,155000000,80000,4.706,-74.135,40.0,1,3,1,23.0,Bueno,6,0.0,3.0,"Bonito apartamento.!!   excelente vista !! Oportunidad !!!remodelado !! Piso 6 acceso por escaleras cuenta con sala  comedor  con vista exterior amplia ventana que le da luz natural  cocina basica  campana extractora zona  de lavanderia con ventilacion natural tres habitaciones con closet  la principal tiene la opcion de espacio para altillo con apertura en los techos de madera  que le dan calidez al apartamento cuenta con baño remodelado con division en vidrio templado  pisos en ceramica. El conjunto cuenta con amplio salon de reuniones , gimnasio dotado muy completo, parqueaderos comunales amplios, porteria 24 horas cerca al comercio de la zona colegios rutas sip y alimentadores de trasmilenio.",finca_raiz,2024-06-14 19:08:00.974
10782779,275000000,236000,4.641299399999999,-74.06369459999999,33.0,1,1,1,4.5,,4,1.0,3.0,"Hermoso Apartaestudio de un ambiente, consta de habitación, baño, sala , cocina, balcón  y zona de lavandería. Parqueadero propio.
cerca de restaurantes, supermercados, teatros y universidades.
Algunos sitios de interés cercanos son la Universidad Santo Tomás, la Universidad de La Salle Sede Chapinero, la Clínica de Marly, el Teatro Santafé y el Éxito. Excelentes vías de acceso desde la Carrera Séptima, la Avenida El Dorado, la Avenida Ciudad de Quito y la Avenida Caracas.",finca_raiz,2024-06-14 19:08:01.166
10795412,630000000,542000,4.7215478,-74.0361164,85.0,3,3,1,4.5,,3,2.0,4.0,"VENTA PARA INVERSION Excelente apartamento, interior, Club House. Consta de  sala comedor con chimenea, balcón, baño social, cocina integral abierta, zona de lavandería, estudio, tres habitacines,  baño de las habitaciones, alcoba Principal con walking Closet,  y baño Privado, Piso Laminado, Garaje para dos vehículos y Depósito.  RENTA $3.500.000 INCLUIDA LA ADMON. 

El Edificio  Inteligente; Cuenta Con Recepcion, Vigilancia las 24 Horas; Citófono, bicicletero, sendero peatonal, piscina, sauna, Gimnasio, garaje visitantes, juegos de Niños, Salón Comunal, Cinema, Cancha de Squash, Terraza, Zona de BBQ y Teppanyaki, C.C.T.V, Chimenea al Aire, Tanque de Agua, Chut de basuras, EQ. Presión Constante, Bomba Eyectora, Planta Eléctrica, Calderas y  2 Ascensores Por Torre.",finca_raiz,2024-06-14 19:08:01.361
10584575,930000000,800000,4.6903839,-74.0696214,148.0,3,3,0,12.0,,12,3.0,4.0,"Ubicadisimo, iluminado, 148 mt2, 3 habitaciones, habitacion principal con walking closet, 3 baños, sala-comedor con balcon, cocina integral cerrada, zona de lavanderia, vista exterior, 3 parqueaderos cubiertos con matriculas independientes. 

El conjunto cuenta con cancha de baloncesto, cancha de golfito, salon comunal, parque para niños, sala de estudio, sala de television, salon de microfutbol 

Centros comerciales: Centro Comercial la floresta, Centro Comercial Sierra 100, Centro comercial Metropolis 
Cerca a: Homecenter de la 80, Exito de la 80. 

VALOR DE VENTA NOVECIENTOS TREINTA MILLONES NEGOCIABLES

Vias de acceso: Calle 80, Avenida Carrera 68, Calle 100, Avenida Suba, Autopsita Norte.",finca_raiz,2024-06-14 19:08:01.882
10198325,1290000000,978000,4.701009099999999,-74.0280983,150.0,3,3,1,12.0,,6,2.0,6.0,"Ubicado en uno de los mejores Club House de Bogotá, este apto esta en el piso 6, brinda tranquilidad debido a que se ubica arriba de la cra 7 lo que hace que no le llegue el ruido de los carros y del ambiente normal de la zona-El club house tiene:cancha tennis,squash,gimnasio,piscina,turco,sauna,salon juegos,sala de negocios,salon social y parques en las diferentes torres,seguridad en cada torre y vigilancia 24 horas,en sus alrededores comercio,transporte público,universidades,colegios y más-",finca_raiz,2024-06-14 19:08:02.073
